Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.019491
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.10      0.000     0.000     0.000     0.000        1   ActionView::TemplateRenderer#determine_template 
  0.10      0.015     0.000     0.000     0.015        1   Rack::Lock#call 
  0.10      0.001     0.000     0.000     0.001        4   ActiveSupport::Notifications::Fanout#listening? 
  0.10      0.015     0.000     0.000     0.015        1   ActiveSupport::Cache::Strategy::LocalCache::Middleware#call 
  0.10      0.006     0.000     0.000     0.006        1   ActionController::Rendering#render 
  0.10      0.000     0.000     0.000     0.000        8   String#to_i 
  0.10      0.019     0.000     0.000     0.019        1   ActiveSupport::Testing::Performance::ForMiniTest#run_test 
  0.10      0.014     0.000     0.000     0.014        6  *ActiveSupport::Callbacks::ClassMethods#__run_callback 
  0.10      0.000     0.000     0.000     0.000        8   <Class::URI::Generic>#default_port 
  0.10      0.000     0.000     0.000     0.000        2   ActiveRecord::LogSubscriber#sql 
  0.10      0.000     0.000     0.000     0.000        2   ActionView::LookupContext::Accessors#formats= 
  0.10      0.013     0.000     0.000     0.013        1   ActiveRecord::QueryCache#call 
  0.10      0.000     0.000     0.000     0.000        1   ActiveRecord::QueryCache::BodyProxy#close 
  0.10      0.000     0.000     0.000     0.000        3   String#sub! 
  0.10      0.001     0.000     0.000     0.001        2   ActionView::Helpers::AssetTagHelper::AssetIncludeTag#path_to_asset 
  0.10      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#content_tag_string 
  0.10      0.013     0.000     0.000     0.013        1   ActionDispatch::Cookies#call 
  0.10      0.002     0.000     0.000     0.002        1   Sprockets::Helpers::RailsHelper#stylesheet_link_tag 
  0.10      0.000     0.000     0.000     0.000        4   <Class::File>#extname 
  0.10      0.014     0.000     0.000     0.014        1   Rails::Rack::Logger#call 
  0.10      0.008     0.000     0.000     0.008        4  *<Module::ActiveSupport::Notifications>#instrument 
  0.10      0.000     0.000     0.000     0.000        3   Array#flatten 
  0.10      0.000     0.000     0.000     0.000        6   <Class::ActiveSupport::Inflector::Inflections>#instance 
  0.10      0.000     0.000     0.000     0.000        3   String#blank? 
  0.10      0.000     0.000     0.000     0.000        4   #<Module:0x007fea22088900>#config 
  0.10      0.000     0.000     0.000     0.000        2   ActiveSupport::HashWithIndifferentAccess#convert_value 
  0.09      0.000     0.000     0.000     0.000        2   ActionDispatch::Request#deep_munge 
  0.09      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#match? 
  0.09      0.006     0.000     0.000     0.006        1   Benchmark#realtime 
  0.09      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::DetailsCache#details_key 
  0.09      0.000     0.000     0.000     0.000       10   Array#blank? 
  0.09      0.000     0.000     0.000     0.000        4   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.09      0.000     0.000     0.000     0.000        2   Journey::Path::Pattern#match 
  0.09      0.001     0.000     0.000     0.001        1   Sprockets::Helpers::RailsHelper#javascript_include_tag 
  0.09      0.000     0.000     0.000     0.000        1   Rack::ETag#digest_body 
  0.09      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#setup_subscriptions 
  0.09      0.000     0.000     0.000     0.000        1   <Class::AbstractController::Base>#internal_methods 
  0.09      0.000     0.000     0.000     0.000        1   Digest::Base#update 
  0.09      0.000     0.000     0.000     0.000        4   ActionView::Resolver#find_all 
